,lc_n,counter,t0,tE,u0,log10(q1),log10(q2),dis1,dis2,log10(ro_star),mbase,fbW,chi_binary,chi_triple,Delta chi,ndat
0,1,1933,45.71868,37.8034,0.0236,-2.06466,-3.75779,25.59442,0.00595,-2.22625,16.9833,0.9277,4923.02,427390.42,422467.4,5138
1,2,2455,49.40915,7.7625,0.4425,-1.36278,-4.52301,5.27979,6.61749,-2.31666,19.2696,0.6522,1431.55,1555.58,124.03,1475
2,3,2508,35.35915,8.6062,0.066,-4.37107,-3.01917,1.04364,6.22846,-2.92841,19.6625,0.8834,1535.23,538691.33,537156.11,1635
3,4,175,54.70412,12.3658,0.1502,-3.81919,-3.74219,1.1694,0.06051,-3.03834,21.0063,0.7034,1707.74,81528.58,79820.84,1868
4,5,2044,2.20651,18.5033,0.1007,-2.80864,-2.99327,0.96052,0.04557,-2.54468,18.4905,0.974,2009.1,106741.47,104732.37,1968
5,6,3080,4.7002,2.1834,0.0959,-3.76688,-4.20888,1.06691,0.91364,-1.90701,19.3324,0.8679,367.84,846.26,478.42,415
6,7,2957,4.21932,14.7026,0.0409,-3.28276,-3.55831,0.43517,0.11645,-2.51851,19.7439,0.8429,1898.34,44023.24,42124.9,1798
7,8,3048,1.06571,10.4381,0.1477,-3.20746,-3.74324,1.03731,1.36453,-3.01601,18.7742,0.1223,1056.37,22216.36,21159.99,1092
8,9,1668,3.22774,11.9216,0.0176,-3.30159,-3.9317,0.21796,3.56358,-2.84894,20.073,0.8149,1380.05,14820.37,13440.32,1439
9,10,1545,32.77624,12.2341,0.1392,-3.71604,-3.30855,0.7892,0.30685,-2.56184,19.793,0.7746,2197.81,106587.26,104389.45,2325
10,11,298,10.76725,31.8936,0.0766,-3.6256,-3.62073,0.82092,14.18018,-3.25806,19.9112,0.1063,3946.67,827795.74,823849.07,4052
11,12,3025,6.81187,9.6351,0.0275,-2.51227,-2.94864,4.41636,0.03238,-2.32145,20.1575,0.609,1451.58,96162.02,94710.44,1562
12,13,935,12.04497,28.0233,0.0077,-3.6047,-3.98094,0.3155,0.0052,-3.13942,19.5736,0.1327,3674.39,169317.55,165643.17,3806
13,14,2594,31.94466,8.4497,0.1571,-1.93903,-3.89792,37.67434,23.12597,-2.64373,18.5648,0.8424,1556.85,37202.54,35645.69,1606
14,15,2079,40.80432,11.3504,0.9097,-1.87235,-3.64821,0.23612,37.33114,-1.61879,15.6265,0.993,2051.83,5443.15,3391.32,2157
15,16,607,48.30511,26.1735,0.0033,-3.35228,-3.7866,8.34384,17.02219,-2.87729,18.6795,0.3175,3655.47,861543.14,857887.68,3787
16,17,902,59.28689,10.5915,0.3262,-2.04007,-3.51034,15.07292,0.13692,-2.09817,17.2484,0.865,1166.88,3756.26,2589.38,1264
17,18,1624,20.27887,20.5285,0.0614,-3.17741,-3.95643,0.61697,15.62381,-3.14014,19.0618,0.1237,3694.93,123108.28,119413.35,3876
18,19,2048,42.78846,76.6411,0.1457,-3.38159,-4.81462,1.16448,13.59092,-3.30539,16.5795,0.2934,5862.21,142135.22,136273.0,5889
19,20,2119,40.15161,15.1163,0.0862,-3.80562,-3.31392,0.66533,32.68494,-2.63371,17.754,0.78,2706.19,783154.73,780448.54,2872
20,21,1368,11.74331,12.9143,0.1274,-2.90874,-2.95667,2.06946,8.29576,-2.82501,20.4934,0.6271,2127.25,268952.04,266824.8,2342
21,22,946,8.83211,10.831,0.9128,-2.21844,-4.23461,1.82166,0.61964,-2.25942,21.6406,0.7025,1776.56,1782.4,5.84,1868
22,23,1726,12.27367,13.6689,0.3417,-3.50983,-3.39841,0.55826,0.00385,-2.60112,18.0231,0.8843,2397.97,76940.02,74542.05,2464
23,24,2916,5.97827,13.9325,0.3469,-3.73078,-3.401,1.29439,0.02954,-3.16628,20.0159,0.8523,1784.0,5337.9,3553.9,1891
24,25,3135,10.98969,12.2097,0.0141,-3.21459,-3.31297,0.74228,4.9092,-3.02292,21.4288,0.5948,2189.05,253658.19,251469.14,2204
25,26,1762,23.46162,15.2311,0.0559,-4.16586,-4.59936,1.27958,0.70451,-3.26648,18.9028,0.4739,2700.8,54046.09,51345.29,2894
26,27,2664,7.10377,256.0871,0.0456,-2.96795,-3.23775,1.42027,14.6059,-2.89613,18.3719,0.9866,5705.2,2788820.93,2783115.73,5890
27,28,2370,29.39212,31.4949,0.3476,-4.08073,-3.57168,1.07301,13.37707,-2.76922,17.2526,0.7061,5633.82,137147.14,131513.32,5784
28,29,842,16.21869,27.1165,0.4889,-3.20482,-3.55902,0.75428,5.92226,-2.96257,19.7772,0.7644,4159.35,21169.52,17010.17,4116
29,30,2358,40.16951,49.3063,0.2458,-3.69103,-4.34876,0.90579,1.01159,-3.10752,18.911,0.0741,5758.37,8687.86,2929.49,5890
30,31,1094,30.50563,20.1436,0.3962,-4.5841,-3.01367,1.27551,0.68688,-2.93181,20.5349,0.2356,3808.9,4681.11,872.22,3827
31,32,2575,28.91465,36.1067,0.0729,-3.51209,-2.47216,1.36045,0.13468,-2.99448,18.1401,0.3315,5657.66,6615187.11,6609529.45,5889
32,33,2687,29.27979,12.6653,0.0034,-3.47107,-3.71649,0.15228,1.00689,-2.61032,20.0171,0.4208,2397.82,41119.74,38721.92,2407
33,34,137,60.51932,5.9276,0.1181,-3.28012,-3.07525,0.78887,5.07999,-2.52041,20.5121,0.8738,679.46,67474.11,66794.65,704
34,35,1458,33.88539,8.3275,0.0199,-3.16724,-3.49811,1.76596,4.21165,-2.51084,19.2891,0.892,1576.35,51015.42,49439.07,1582
35,36,529,54.74011,9.9021,0.1886,-2.74896,-4.01926,0.70323,0.04463,-2.65829,19.8931,0.8508,1647.14,6467.53,4820.39,1631
36,37,2529,18.95007,15.1712,0.461,-3.36445,-2.4624,1.20883,0.99647,-2.42166,18.3579,0.9458,2761.19,19311.55,16550.36,2883
37,38,2489,15.3695,44.6197,0.1988,-3.64248,-3.66327,0.94388,0.1019,-2.58554,19.5994,0.9495,5446.36,33033.45,27587.09,5698
38,39,1801,38.99219,46.153,0.2749,-3.74384,-4.40233,1.15144,0.07014,-2.68664,19.4463,0.9695,5744.09,880820.84,875076.75,5889
39,40,2397,32.71627,65.0677,0.4773,-3.60203,-4.31903,0.69352,1.31426,-2.71294,18.3605,0.4175,5822.35,9094.42,3272.07,5890
40,41,3027,10.4523,50.9694,0.516,-2.11696,-2.03971,1.12099,0.08967,-3.19132,16.6829,0.96,5716.55,184927.99,179211.44,5834
41,42,2152,16.22733,19.1536,0.2924,-4.13209,-4.66763,0.89172,0.18799,-2.83215,18.1352,0.719,3254.84,54820.82,51565.98,3361
42,43,2306,4.71515,6.2265,0.8536,-3.96285,-3.33714,0.62734,3.03497,-2.53143,19.2211,0.9584,994.13,3893.19,2899.07,1039
43,44,1872,28.22793,55.6158,0.005,-3.4299,-3.79061,2.66631,0.05179,-3.00039,19.4142,0.2281,5854.17,933442.09,927587.91,5889
44,45,708,7.90392,16.83,0.0632,-2.72325,-3.63112,16.04648,0.10506,-2.54584,18.4671,0.4251,2283.51,57222.14,54938.64,2350
45,46,2646,28.73578,72.8195,0.1008,-3.94386,-3.96676,1.08788,3.80556,-2.74943,18.5483,0.5036,5782.9,184186.51,178403.61,5889
46,47,1555,43.85056,23.853,0.2363,-2.80104,-3.75504,1.55492,0.31202,-2.92897,18.0765,0.1124,3793.06,51570.27,47777.21,3990
47,48,2663,42.75622,12.01,0.2052,-1.86234,-4.3306,29.70033,2.54806,-2.61304,19.3175,0.8545,2084.87,6146.45,4061.58,2282
48,49,2867,23.06695,6.1337,0.0569,-3.66994,-3.62035,1.38854,0.72869,-2.40074,18.5523,0.8637,1181.53,11737.69,10556.17,1166
49,50,440,59.6328,95.0611,0.0337,-2.29892,-3.14691,1.14039,24.19989,-2.87782,20.6749,0.3244,5819.41,349321.48,343502.08,5889
50,51,2429,35.80224,39.3399,0.6743,-3.34256,-4.16413,0.74337,0.10715,-3.49921,19.4431,0.7789,5591.23,18230.67,12639.45,5890
51,52,3166,1.86141,7.0652,0.257,-2.68875,-4.92976,0.79218,0.02823,-1.9602,17.8479,0.9685,849.05,856.16,7.11,848
52,53,1525,57.83384,35.3056,0.0286,-1.75005,-3.29935,0.99913,13.90222,-2.96601,21.2961,0.6417,3695.02,289291.21,285596.19,3750
53,54,338,56.75946,2.1802,0.0304,-2.88244,-2.64168,2.02603,0.08697,-2.12852,18.8116,0.9472,377.28,77986.65,77609.37,415
54,55,2874,14.43476,12.6923,0.2364,-3.54979,-4.28848,0.77002,5.62008,-2.87693,20.5645,0.2758,2333.14,11838.09,9504.95,2412
55,56,1427,52.95894,36.5925,0.0143,-4.00632,-4.06129,1.38698,0.00256,-2.96138,20.0887,0.7636,4284.28,309479.66,305195.38,4335
56,57,220,34.66977,23.8113,0.3244,-3.41511,-3.83102,1.02205,0.50394,-2.66714,17.751,0.862,4364.54,65555.41,61190.87,4524
57,58,489,44.02332,52.2763,0.0141,-2.28379,-2.49165,0.19763,21.75303,-3.1346,22.2033,0.7213,5611.42,2198627.55,2193016.14,5890
58,59,660,6.88222,8.8782,0.0601,-3.57159,-4.91082,1.06611,0.07612,-3.11532,20.8572,0.0957,1482.08,5033.65,3551.56,1497
59,60,925,6.86019,11.8379,0.6793,-3.7767,-3.51484,0.57354,0.0152,-3.0474,20.191,0.2272,1723.55,4555.58,2832.03,1776
60,61,1443,57.7824,5.2671,0.9642,-3.40874,-4.52265,1.60469,0.60942,-2.565,21.2648,0.6536,841.64,941.28,99.64,901
61,62,1877,4.08238,13.8638,0.0236,-3.4461,-3.3608,1.31323,0.2954,-2.67414,19.5682,0.6922,1736.25,78759.06,77022.81,1704
62,63,2852,59.16045,11.0172,0.4465,-3.61462,-4.14619,1.20108,2.9545,-3.09082,19.82,0.6573,1287.08,2894.04,1606.96,1317
63,64,1714,3.36115,35.7416,0.4465,-2.39806,-3.33967,1.86005,3.44968,-2.93896,15.9303,0.909,3640.1,277850.5,274210.4,3714
64,65,2005,52.02131,10.6089,0.0312,-2.74745,-3.2298,4.69526,0.03257,-2.60255,20.7228,0.8909,1787.17,59357.03,57569.86,1956
65,66,110,3.6063,173.3004,0.4588,-1.61801,-4.21751,0.51206,0.12174,-2.13501,18.9618,0.9408,5699.85,5975.69,275.84,5889
66,67,2359,31.7478,5.3743,0.0146,-2.9542,-4.27422,0.53401,0.00654,-2.97041,20.6907,0.1584,1016.54,17617.45,16600.91,1021
67,68,2993,23.20257,13.1179,0.2818,-4.3076,-4.16686,1.3238,0.03225,-2.8467,21.5854,0.5293,2394.88,7289.33,4894.46,2493
68,69,2223,43.16835,17.3637,0.0003,-3.59234,-4.09849,0.41548,8.40713,-3.21503,21.0227,0.094,3232.28,83859.95,80627.66,3299
69,70,449,11.3379,17.4417,0.1341,-3.80093,-4.56373,1.0408,0.01132,-2.78502,20.6545,0.3095,2766.02,5463.83,2697.81,2734
70,71,2115,37.58447,5.4499,0.1249,-3.37314,-3.1796,0.70292,2.09368,-2.06329,18.5568,0.9174,977.66,16394.97,15417.31,1036
71,72,792,55.00773,7.5154,0.0817,-3.8811,-3.70723,0.84135,0.03429,-2.41889,18.8352,0.8319,1272.39,9622.24,8349.86,1379
72,73,176,49.49197,8.0139,0.682,-1.86214,-3.0982,0.57692,53.08398,-1.60303,16.4143,0.9824,1498.55,20452.84,18954.29,1523
73,74,2710,55.74719,20.9807,0.036,-3.66118,-3.53226,0.76363,33.0648,-2.84725,18.9921,0.7583,2467.16,28853.35,26386.19,2587
74,75,3064,0.41108,30.9861,0.3564,-1.76574,-3.59089,5.96149,14.05335,-2.24022,17.2739,0.9435,2872.55,164258.38,161385.83,2982
75,76,1563,52.24125,202.4353,0.0975,-2.50378,-3.80832,0.38851,0.03484,-2.52087,18.8647,0.5847,5672.83,22873.12,17200.29,5889
76,77,2022,11.58012,6.1312,0.0019,-3.3872,-3.79591,3.38185,0.14882,-2.78291,21.1941,0.8771,1189.58,23213.6,22024.01,1165
77,78,511,42.09165,45.9902,0.0907,-3.4302,-2.99917,1.25081,0.1805,-3.35972,21.7429,0.5151,5731.49,924024.76,918293.27,5889
78,79,1185,61.51721,27.0142,0.0896,-3.54407,-3.32865,0.7401,0.27078,-3.20831,17.892,0.8219,2497.61,5481891.42,5479393.81,2612
79,80,2034,6.56954,6.2953,0.1235,-3.37873,-3.15899,1.01596,0.05853,-2.187,18.2078,0.9965,1084.02,28920.5,27836.48,1196
80,81,226,37.35758,33.75,0.0169,-3.6511,-4.18219,0.48358,0.09636,-3.11182,19.1813,0.9489,5309.51,800299.25,794989.74,5547
81,82,1564,50.07389,21.7653,0.1569,-3.40915,-3.36522,0.88295,0.77775,-2.8446,20.5154,0.83,3005.08,164999.7,161994.63,3201
82,83,3120,15.13086,14.2913,0.0569,-3.43799,-4.07428,1.3313,0.01972,-2.67471,18.4815,0.9587,2611.46,77259.29,74647.83,2715
83,84,2825,43.08726,45.1713,0.4206,-3.73138,-3.16273,1.66643,0.01285,-2.48467,17.9754,0.9023,5822.8,96084.4,90261.59,5890
84,85,2007,3.67335,17.6431,0.469,-2.92226,-3.66671,0.69859,0.26775,-3.39426,20.1154,0.1646,1984.32,5928.41,3944.1,2025
85,86,36,36.97097,48.5591,0.0365,-2.99956,-3.74246,6.04048,0.27329,-2.83947,18.5774,0.9625,5702.96,713597.59,707894.62,5889
86,87,2267,44.50018,93.8693,0.0711,-3.78542,-3.22838,0.68425,0.00741,-2.88416,17.28,0.1013,5796.47,2278643.91,2272847.44,5889
87,88,2577,13.41849,12.8249,0.5268,-2.35636,-4.50005,1.27995,0.0107,-3.35674,19.0467,0.9155,2293.25,5920.17,3626.92,2437
88,89,1200,37.92955,7.7637,0.1276,-1.96888,-3.73447,0.80108,2.40812,-3.01011,22.8841,0.3684,1453.63,4845.02,3391.4,1475
89,90,702,12.50206,20.8067,0.7924,-2.97676,-4.11134,0.63233,1.86849,-2.7958,18.5378,0.8596,3064.55,9079.17,6014.63,3164
90,91,3051,49.34684,13.2957,0.4667,-2.49327,-2.54951,1.06155,0.17415,-2.66019,19.4597,0.9234,2408.17,88667.69,86259.52,2465
91,92,771,8.55995,6.4928,0.7255,-3.54011,-4.63533,0.52384,19.61052,-2.17024,17.4616,0.9672,1219.19,1300.93,81.73,1234
92,93,2016,55.00902,28.5701,0.2425,-2.57636,-3.29822,0.81936,2.75242,-2.49275,16.6531,0.1123,3218.92,309873.33,306654.41,3378
93,94,2521,37.96178,9.9171,0.4489,-3.67941,-2.27854,1.58495,5.00661,-2.78005,19.7843,0.6315,1824.29,26797.37,24973.08,1884
94,95,2379,45.44503,27.7349,0.0302,-2.71292,-3.02622,7.2857,10.91052,-2.78773,17.4376,0.307,4059.18,5895447.73,5891388.55,4207
95,96,2794,4.01618,37.2114,0.0606,-3.13718,-3.98957,1.56213,0.6404,-2.15178,18.2549,0.7441,3759.24,7006.93,3247.69,3916
96,97,2353,23.51491,23.628,0.0536,-3.67276,-3.33705,1.11443,0.24846,-2.77757,18.4492,0.8997,4457.99,1372865.44,1368407.45,4478
97,98,3116,28.853,6.3318,0.0002,-3.38268,-3.90338,4.49206,0.01436,-2.74466,21.4352,0.4541,1186.73,11256.05,10069.32,1203
98,99,2920,54.43957,18.5116,0.1978,-3.56268,-4.87374,1.07402,0.00219,-2.51617,18.2714,0.9974,2438.71,4135.05,1696.34,2477
99,100,899,6.69093,4.8273,0.3406,-3.75991,-3.625,1.2989,0.18341,-1.90109,17.1548,0.9878,875.13,1933.89,1058.76,918
100,101,2090,21.10459,11.3649,0.5243,-3.06417,-3.95513,1.17756,0.41042,-2.48728,18.5349,0.9298,2134.06,6599.64,4465.58,2160
101,102,565,0.00844,71.1331,0.2218,-3.4683,-4.10126,0.77207,17.13089,-3.02241,19.8251,0.8603,5724.99,28521.28,22796.28,5890
102,103,579,57.57815,14.4492,0.2024,-3.60177,-4.19275,1.26027,0.00481,-2.90535,19.7688,0.8251,1779.46,57615.61,55836.14,1793
103,104,2604,52.54555,12.6983,0.8194,-3.09119,-2.8427,1.73266,0.0102,-2.00404,18.301,0.9878,2083.28,6111.55,4028.27,2105
104,105,1885,27.56602,24.8854,0.0704,-1.77623,-2.98684,0.36161,32.21324,-2.81622,18.498,0.3008,4743.46,2825473.75,2820730.29,4728
105,106,2905,51.76623,9.7917,0.0555,-2.57798,-3.67506,0.42078,0.06185,-3.29722,21.4672,0.5427,1781.9,88930.98,87149.08,1861
106,107,739,22.39371,11.7573,0.023,-3.17402,-3.86286,0.89835,19.83676,-2.56621,19.1489,0.9839,2131.73,57569.91,55438.18,2234
107,108,2551,46.22428,6.9693,0.2179,-1.92014,-4.31502,0.44558,0.04071,-2.60418,20.6481,0.7598,1318.38,2136.77,818.38,1324
108,109,2276,57.8911,30.4679,0.2312,-3.88428,-4.48765,1.017,0.50116,-3.1488,17.7083,0.8555,3128.88,16340.27,13211.39,3285
109,110,2844,43.2609,10.8653,0.0908,-2.75603,-3.3699,0.26528,2.13688,-2.33882,18.7052,0.9332,1943.11,46191.4,44248.29,2065
110,111,937,36.36951,70.9479,0.0143,-2.6509,-3.63656,0.12792,9.39834,-2.97408,20.3409,0.6052,5667.29,2218343.21,2212675.92,5889
111,112,1787,60.7554,58.9504,0.1486,-3.85789,-3.94525,1.11017,0.00843,-2.91793,17.5623,0.8974,5573.25,335745.95,330172.7,5718
112,113,1638,40.98156,124.726,0.4542,-3.77367,-3.95466,0.75187,0.05353,-2.75036,16.7688,0.9596,5776.23,145215.44,139439.2,5889
113,114,906,1.65489,8.534,0.0316,-2.93504,-3.53406,1.86559,0.16786,-2.83476,21.2329,0.5874,959.5,23931.66,22972.16,968
114,115,1166,9.90089,10.6618,0.0292,-3.62789,-3.6582,0.69365,6.0302,-3.06814,20.1302,0.3804,1908.47,289317.87,287409.4,1953
115,116,155,9.89929,19.5514,0.0976,-4.56862,-2.95664,0.99514,11.11409,-2.56708,18.9925,0.9772,2783.12,1771444.8,1768661.69,2798
116,117,1312,45.5211,9.3191,0.2097,-2.10456,-3.56548,4.83372,6.23508,-2.90015,19.6279,0.6773,1667.33,164926.01,163258.68,1771
117,118,1392,6.47094,29.7472,0.1056,-2.49707,-4.1724,1.96353,5.0499,-2.97601,17.235,0.749,3196.5,748515.65,745319.14,3441
118,119,105,34.77597,29.2123,0.1425,-3.5263,-3.72202,1.05253,0.62167,-3.05819,22.731,0.1751,5077.58,19755.4,14677.83,5361
119,120,3071,12.90789,78.8305,0.104,-2.60974,-2.6027,0.30272,1.58809,-2.55292,18.9295,0.9204,5677.17,7395273.44,7389596.27,5889
120,121,202,41.52053,31.9418,0.094,-3.10611,-4.34303,1.30403,0.24078,-2.84381,22.6174,0.6068,4953.32,8241.8,3288.47,4980
121,122,339,9.28884,5.9114,0.8213,-3.61848,-4.06543,0.52462,15.75294,-2.19029,18.538,0.8409,1087.21,1259.84,172.63,1123
122,123,3036,35.2295,9.8513,0.2236,-2.83989,-3.86336,2.21873,0.49908,-2.33354,17.5775,0.6763,1810.49,8855.0,7044.52,1872
123,124,2111,34.95157,2.4651,0.2419,-1.62785,-4.84931,0.27115,0.11126,-2.17115,19.7385,0.6275,415.83,420.66,4.83,469
124,125,2262,49.00402,11.3005,0.9081,-4.01517,-4.36876,2.00244,0.00528,-2.85549,19.9485,0.115,2109.86,3510.9,1401.04,2147
125,126,2023,4.02341,16.4449,0.2362,-2.73663,-3.03358,2.97507,6.54902,-1.90431,17.0106,0.9184,1869.82,103364.2,101494.37,1945
126,127,313,0.70448,27.1669,0.1173,-2.57043,-4.87109,3.41075,0.4367,-2.64813,19.1524,0.4481,2536.59,4483.0,1946.4,2647
127,128,544,52.53593,12.7755,0.4767,-2.68461,-3.44538,0.64005,0.07855,-2.74215,20.676,0.8136,2109.4,19113.5,17004.11,2113
128,129,2995,57.49444,13.9981,0.4553,-3.82551,-4.80967,0.72321,0.00173,-2.74875,18.6089,0.6887,1800.42,7221.4,5420.98,1758
129,130,2268,12.10601,23.5677,0.054,-4.03298,-3.75884,0.8135,0.08763,-2.18204,18.1101,0.7815,3274.71,19792.06,16517.35,3389
130,131,1360,54.28126,17.6156,0.3619,-2.00943,-3.79858,8.87009,0.06812,-2.38088,19.5615,0.7361,2339.28,7535.19,5195.91,2407
131,132,490,8.14599,19.6,0.1474,-2.07792,-3.80417,33.73826,9.39668,-2.61238,18.8736,0.8642,2478.2,80295.36,77817.17,2636
132,133,695,19.17071,9.3758,0.5257,-2.13111,-3.81886,1.31027,74.7697,-2.97852,22.3022,0.1443,1647.48,3437.13,1789.65,1782
133,134,2419,9.13481,19.2919,0.6284,-3.98101,-4.34309,1.68387,0.04007,-2.48414,19.2861,0.8926,2676.12,5118.94,2442.81,2700
134,135,630,59.63679,13.3896,0.2368,-2.48667,-4.10076,0.37,0.01013,-2.69109,19.6528,0.7578,1507.53,14070.6,12563.07,1497
135,136,2914,30.34739,18.5395,0.0264,-3.03592,-3.72932,0.13189,4.753,-2.63025,18.9604,0.4251,3541.66,120805.67,117264.01,3522
136,137,1435,26.46459,7.2685,0.0257,-3.83175,-4.30128,0.77588,0.12777,-2.71763,20.7833,0.2082,1375.26,3375.21,1999.96,1381
137,138,1075,3.45066,6.486,0.9238,-3.77549,-3.13528,1.72795,16.61394,-2.22532,17.1434,0.5639,955.71,2837.07,1881.36,944
138,139,3104,13.5572,35.1558,0.1804,-2.51914,-2.82756,0.1971,0.04452,-2.58838,16.8585,0.9714,4576.54,2014588.9,2010012.36,4627
139,140,2279,59.47096,13.622,0.1083,-3.50943,-3.24076,1.28767,0.57901,-2.72285,18.2447,0.566,1522.88,616937.66,615414.78,1535
140,141,1967,17.51957,15.7489,0.0043,-3.19048,-3.59073,0.13676,0.71108,-2.85968,21.9462,0.2079,2952.11,55092.4,52140.29,2992
141,142,2485,54.93983,12.3302,0.7473,-4.11653,-4.4892,0.72588,1.05655,-2.82968,19.1725,0.9343,1767.08,16488.98,14721.9,1842
142,143,3089,33.19034,42.3966,0.0018,-3.75941,-2.85993,0.66174,0.00798,-3.38195,21.2851,0.064,5778.18,1528424.93,1522646.75,5889
143,144,2171,43.75024,10.9355,0.6765,-1.84568,-3.87626,3.36678,0.00514,-2.50123,18.5071,0.9612,1937.79,6585.25,4647.46,2078
144,145,1112,2.58799,8.7116,0.3445,-3.93048,-4.05651,0.67964,0.80549,-2.51942,19.2873,0.3497,951.26,2536.78,1585.52,1073
145,146,984,30.25385,13.0399,0.1836,-3.06212,-3.56934,1.34438,39.88002,-2.93874,19.4735,0.6497,2431.74,38149.81,35718.07,2478
146,147,229,38.12578,13.2237,0.0175,-3.49464,-4.37781,1.57337,12.59784,-2.78486,20.328,0.2493,2432.85,13712.59,11279.74,2513
147,148,889,4.15407,49.0799,0.0908,-3.55598,-3.79907,1.11032,2.67222,-3.07536,20.2452,0.8132,5027.6,409559.95,404532.35,5056
148,149,1298,27.78189,16.4604,0.3922,-3.97609,-3.70484,1.61227,0.27221,-2.90809,19.9368,0.833,3108.96,9412.79,6303.83,3128
149,150,1775,10.85884,5.4964,0.6195,-2.9103,-3.45029,0.63981,0.00796,-2.44861,19.789,0.6607,976.55,32784.51,31807.96,1045
150,151,1838,19.59296,5.6975,0.0653,-3.93366,-4.198,0.95539,26.71925,-2.64913,20.3211,0.8712,1002.66,3291.27,2288.61,1083
151,152,286,34.67664,6.7057,0.8762,-2.46388,-3.4262,2.01205,0.12874,-2.25037,19.9673,0.996,1234.01,1488.79,254.78,1274
152,153,453,24.33383,17.4417,0.0305,-3.53043,-4.49776,0.39941,0.2382,-3.04359,19.027,0.7733,3278.55,93128.32,89849.77,3314
153,154,2606,38.31354,6.5395,0.0818,-2.20595,-2.25151,6.84866,0.27158,-2.99822,21.7463,0.8369,1240.2,93613.59,92373.39,1243
154,155,1096,22.10154,24.4481,0.0698,-2.86844,-4.20755,0.68575,0.04929,-3.27401,21.2643,0.1073,4333.79,37223.62,32889.83,4422
155,156,1315,2.56067,24.1303,0.3904,-2.31905,-4.04022,0.87428,0.17665,-3.10182,20.6521,0.3605,2519.63,26599.35,24079.72,2536
156,157,481,25.88068,18.0056,0.5158,-3.49235,-3.50485,0.72506,3.92019,-2.6945,20.9598,0.3972,3360.42,11260.17,7899.75,3421
157,158,612,39.04981,27.2995,0.5756,-3.5291,-3.52339,1.15555,0.32979,-2.29968,17.7928,0.9084,4655.25,11142.51,6487.26,4774
158,159,582,40.47557,16.833,0.3443,-2.70889,-4.6728,1.11597,0.09164,-2.70489,18.1434,0.9636,3199.5,16444.47,13244.97,3198
159,160,965,23.77738,147.4595,0.0297,-3.75117,-3.99466,1.20593,0.05527,-3.04254,18.6042,0.5294,5731.9,44012.74,38280.84,5889
160,161,1758,31.09709,25.917,0.0763,-3.66365,-2.77341,0.66415,0.00537,-3.01372,18.7607,0.8125,4826.19,696789.86,691963.67,4924
161,162,2226,45.31823,9.1622,0.0535,-3.2225,-3.40769,0.71073,0.06628,-2.13685,18.7597,0.9696,1660.68,14605.72,12945.04,1741
162,163,2853,24.64542,21.7934,0.0059,-3.73059,-2.13576,1.21661,0.88969,-3.31524,20.5277,0.2411,4009.43,6381989.6,6377980.17,4141
163,164,164,48.89762,13.2795,0.081,-4.08721,-4.15615,1.17504,32.32752,-2.8535,20.5103,0.2831,2331.75,28784.42,26452.67,2506
164,165,1719,9.94261,7.934,0.0749,-2.81192,-3.37481,3.69758,0.13065,-2.17175,18.0349,0.8034,1449.44,44434.48,42985.04,1508
165,166,998,56.97333,15.4887,0.6992,-3.23282,-4.5323,0.74362,0.10371,-1.99565,16.2916,0.9715,1940.51,2033.91,93.4,1949
